UF;Protocolo;Descrição;Projeto;Ação;Início do Atendimento;Fim do Atendimento;Instrumento
SC;SC0071479;ATENDIMENTO REFERENTE AUXILIO EMERGENCIAL;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;18/05/2020 10:18;18/05/2020 10:23;Informação Presencial
SC;SC0071498;Alteração da atividade na certificação;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;18/05/2020 10:36;18/05/2020 10:46;Orientação Técnica Presencial
SC;SC0072089;Baixa em CNPJ MEI.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;19/05/2020 09:04;19/05/2020 09:11;Orientação Técnica Presencial
SC;SC0072103;"• Preenchimento da FAC e impressão de documentos para alteração.
Foi realizada alteração junto ao Portal do Empreendedor, sendo impressos para a contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado a alteração do cadastro junto ao município, bem como a impressão do Alvará de Funcionamento - Alteração de Endereço";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;19/05/2020 09:20;19/05/2020 09:21;Orientação Técnica Presencial
SC;SC0072113;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;19/05/2020 09:24;19/05/2020 11:49;Orientação Técnica Presencial
SC;SC0072272;Atendimento referente à adição de atividades econômicas do presente CNPJ.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;19/05/2020 11:29;19/05/2020 11:35;Orientação Técnica Presencial
SC;SC0072317;"• Preenchimento da FAC e impressão de documentos para cadastro 
Foram impressos para o contribuinte o CNPJ, CCMEI, DAS, bem como foi preenchida a FAC municipal, sendo realizado o cadastro junto ao município, bem como a impressão do Alvará de Funcionamento. Além da entrega do alvará contribuinte foi informado sobre a necessidade de realizar a declaração anual até maio do ano corrente, da necessidade de emissão de guias no portal do EI (DAS) e que deveria retornar anualmente, no início do ano, na Prefeitura para verificar se a lei de isenção das taxas para EI continua em vigor.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;19/05/2020 12:27;19/05/2020 12:35;Orientação Técnica Presencial
SC;SC0072766;"• Plantão Fiscal - Inclusão de Cadastro
Realizada inclusão do cadastro junto ao município conforme documentação apresentada";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 07:45;20/05/2020 07:53;Orientação Técnica Presencial
SC;SC0072767;REALIZADO VISITA A EMPRESA DO SR. PEDRO CANISIO RECZIEGEL PARA INFORMAR QUE O MUNICÍPIO DISPÕE DE CONSULTORIA GRATUITA PARA EMPRESAS DO MUNICÍPIO E  QUE O MESMO PODE ESTAR ENTRANDO EM CONTATO COM O EDUARDO PARA REALIZAR O AGENDAMENTO. NOS RECEBENDO MUITO BEM FICOU DE RETORNAR APÓS CONVERSAR COM O FILHO CRISTIAN.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 07:55;20/05/2020 08:12;Informação Presencial
SC;SC0072776;REALIZADO VISITA PARA INFORMAR QUE O MUNICÍPIO DISPÕE DE CONSULTORIA GRATUITA PARA EMPRESÁRIOS DO MUNICÍPIO. A SÓCIA NÁDIA PELISSER NOS INFORMOU QUE TENS INTERESSE EM RECEBER A CONSULTORIA PARA GESTÃO E MARKETING. A MESMA RECEBERA A VISITA DO CONSULTOR SEBRAE ASSIM QUE A SALA DO EMPREENDEDOR RECEBER A AGENDA DE VISITA DO MESMO A CAXAMBU DO SUL.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;19/05/2020 14:00;19/05/2020 15:00;Consultoria Presencial
SC;SC0072786;"• Plantão Fiscal – Emissão Nota Avulsa Autônomo
Emissão de nota avulsa de serviço para profissional autônomo";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 08:27;20/05/2020 08:32;Informação Presencial
SC;SC0072789;REALIZADO VISITA PARA INFORMAR O EMPREENDEDOR QUE O MUNICÍPIO DISPÕE DE CONSULTORIA PARA AS EMPRESAS EM PARCERIA COM O SEBRAE SEM QUALQUER CUSTO. A MESMA DISSE QUE NESSE MOMENTO ENCONTRAVA- SE PREPARADA PARA ENFRENTAR A CRISE E GERENCIAR SUAS ATIVIDADES.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 08:31;20/05/2020 08:59;Informação Presencial
SC;SC0072794;"• Plantão Fiscal – Emissão Nota Avulsa Autônomo
Emissão de nota avulsa de serviço para profissional autônomo";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 08:36;20/05/2020 08:45;Informação Presencial
SC;SC0072871;REALIZADO VISITA A LOJA K E L CONFECÇÕES PARA INFORMAR A POSSIBILIDADE DA EMPRESA ESTAR RECEBENDO CONSULTORIA GRATUITO PELA SALA DO EMPREENDEDOR ATÉ O FINAL DO ANO, A MESMA OPTOU POR PLANEJAMENTO E MARKETING E DICAS PARA IMPLANTAÇÃO DE SISTEMA DE CONTROLE.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 09:42;20/05/2020 09:48;Informação Presencial
SC;SC0072879;REALIZADO VISITA AO MERCADO GIOLO PARA INFORMAR QUE O MUNICIPIO DISPÕE DE CONSULTORIA PELA SALA DO EMPREENDEDOR DE FORMA GRATUITA AFIM DE FORTALECER O COMÉRCIO LOCAL. O MESMO ACEITOU NA ÁREA DE MARKETING E PLANEJAMENTO.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 09:48;20/05/2020 10:05;Informação Presencial
SC;SC0072885;"• Plantão Fiscal - Inclusão de Cadastro
Realizada inclusão do cadastro junto ao município conforme documentação apresentada";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 09:55;20/05/2020 09:58;Informação Presencial
SC;SC0072894;"• Preenchimento do pedido de Viabilidade - Abertura
Além de serem prestados os esclarecimentos sobre os limites/exigências para abertura e as vantagens que possuem os MEI,  foi realizada o protocolo de viabilidade de abertura no sistema REGIN, sendo solicitado ao contribuinte que contato a Sala do Empreendedor em uma semana para verificar seu resultado.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:02;20/05/2020 10:03;Orientação Técnica Presencial
SC;SC0072911;"• Plantão Fiscal - Inclusão de Cadastro
Realizada inclusão do cadastro junto ao município conforme documentação apresentada";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:12;20/05/2020 10:16;Orientação Técnica Presencial
SC;SC0072931;Informação referente a auxilio emergencial.;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:25;20/05/2020 10:27;Informação Presencial
SC;SC0072958;viabilidade alteracao de endereço e atividade;SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:42;20/05/2020 10:44;Orientação Técnica Presencial
SC;SC0072969;"• Declaração Anual de Faturamento.
Realizada a Declaração anual de faturamento do site do MEI conforme valores informados pelo contribuinte.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:49;20/05/2020 10:51;Orientação Técnica Presencial
SC;SC0072979;"• Emissão da Parcela do mês 
Realizada a impressão da parcela do mês do parcelamento realizados dos DAS em atraso no portal do Simples Nacional.";SC - Atendimento Territorial - Estadual;Sala do Empreendedor;20/05/2020 10:55;20/05/2020 10:57;Informação Presencial
